  100  468    3
  217   12   32  -44
  214  -20   -4   28
   66   -3  -43    5
  135   14   38   17
  145  -22  -39   29
  159   38  -47  -12
  126  -23   27  -39
  176   -4   -7   20
  201   32    1  -24
  138  -22  -28  -45
  220   -7  -46    9
  178  -50   32   -5
  146  -20   41   -1
  244   43    2   -8
  108   38  -49    4
  236   31  -24  -16
  170   -4   44   47
  131  -16    3   45
   62   47  -27   -9
  180   -8  -44    5
  210   31   29  -50
   68  -40  -42   38
  187  -24  -22   27
  188   43  -19   21
   89  -14  -18   21
  164  -16   25   45
   91   20    3  -23
   71  -42    5  -39
  222   -2   28   16
   81   27  -23  -20
  237    7   31  -24
   56  -49   41   13
  228   12   21   17
  171   27  -10  -40
  167   30    7   27
  206   40  -28   12
  123  -45  -11   46
  141  -42   15  -27
  221   21  -49    5
  216   -9   18   -6
   52    9    3   14
  111  -45   44   24
   51  -20  -46   36
   81  -13  -24   25
  145   50  -43   34
   91  -44   43   -9
  134  -30  -48   32
  142   17   30   48
  139   32   12   17
  227   43   39   18
  209  -21  -25   48
  143   29   20   38
   87   37  -42  -40
  156  -29  -48  -49
  193    3   25  -48
  211  -27  -45   38
  203   35   31   14
  128   48  -41   32
  189  -30   25  -37
   51  -38  -29   23
  206   25  -26   11
  174  -30   17   -6
  174  -47    3   35
  145  -37  -46  -26
  184   20  -13  -42
  179  -37   15   25
  171  -33   46   12
  124  -29   48  -41
  209  -16   -1  -22
   97   49    4  -13
  122  -21    5   50
  227   50  -13  -18
  138   46   13  -29
  111  -38  -32  -18
  119  -18   21  -22
  197  -21   -3   46
  155   33  -20   -3
   77   34  -40  -23
  186  -28   17  -13
  205  -42  -24  -31
  159  -13  -28   35
  198   31   48   45
  244  -38   28  -41
  114   19  -17   22
  125  -16  -23  -24
   57   22  -17   48
  126  -20  -39   30
  140  -38  -11  -31
  163  -25  -17  -37
   62  -50   20    7
  107  -34   31  -25
  115   49    1  -31
  227  -28   47   36
  163   11    4  -27
  129  -27   -6   17
   65    1   13   39
  248  -30  -17  -49
  144   37  -12   14
  169   23   24   18
   59  -15    6  -46
   58   19   14  -16
  179   33  -28   34
  108  -26   21   18
  117  -31   50  -45
   82  -24   11    4
   86  -39  -16  -38
   88   -2   48   36
  224   14   34  -49
  222  -44   49  -32
  202   -6  -47  -19
  191   46   17  -13
  157   27    6  -26
  130  -48  -22   19
  116   48   44  -13
  215   20  -27    8
  199  -50   17   40
  229   42  -43  -34
  137  -19   30  -47
  209  -34   17  -45
  239  -44  -16   41
  165   -6   45   31
   67   12   15   -6
  135   46  -45  -50
  170  -45  -44    8
  143  -13  -22  -19
  110  -31  -16  -45
  151   14   21   -2
  207    6  -25   26
  227   30  -35   20
  102   10  -34    4
  178   18    8   23
   96   19  -28   47
  157   43   45   47
  246    6    4  -29
  214   27  -43  -24
   92   33  -43  -44
  171   21   25   26
  143  -21  -37   -2
  225    4  -28   34
   88   -8   13  -16
   88  -42   12  -39
   99    8  -10  -17
  232   14  -41   47
  105  -16  -22  -41
  106  -34   25  -42
  236   44   -3   35
  207   19   12   13
   95   20   10  -29
  182   20  -50    7
   78  -48  -50  -24
   71   37  -13    2
  160   15  -33   35
   86    4   21   49
   54   10   18  -25
  248  -35  -22   21
  249  -14   20   47
  140  -47   40   24
  109   11  -41  -13
   86   32    2   40
