50 300 3 
1 12 32 -44
1 -20 -4 28
1 -3 -43 5
1 14 38 17
1 -22 -39 29
1 38 -47 -12
1 -23 27 -39
1 -4 -7 20
1 32 1 -24
1 -22 -28 -45
1 -7 -46 9
1 -50 32 -5
1 -20 41 -1
1 43 2 -8
1 38 -49 4
1 31 -24 -16
1 -4 44 47
1 -16 3 45
1 47 -27 -9
1 -8 -44 5
1 31 29 -50
1 -40 -42 38
1 -24 -22 27
1 43 -19 21
1 -14 -18 21
1 -16 25 45
1 20 3 -23
1 -42 5 -39
1 -2 28 16
1 27 -23 -20
1 7 31 -24
1 -49 41 13
1 12 21 17
1 27 -10 -40
1 30 7 27
1 40 -28 12
1 -45 -11 46
1 -42 15 -27
1 21 -49 5
1 -9 18 -6
1 9 3 14
1 -45 44 24
1 -20 -46 36
1 -13 -24 25
1 50 -43 34
1 -44 43 -9
1 -30 -48 32
1 17 30 48
1 32 12 17
1 43 39 18
1 -21 -25 48
1 29 20 38
1 37 -42 -40
1 -29 -48 -49
1 3 25 -48
1 -27 -45 38
1 35 31 14
1 48 -41 32
1 -30 25 -37
1 -38 -29 23
1 25 -26 11
1 -30 17 -6
1 -47 3 35
1 -37 -46 -26
1 20 -13 -42
1 -37 15 25
1 -33 46 12
1 -29 48 -41
1 -16 -1 -22
1 49 4 -13
1 -21 5 50
1 50 -13 -18
1 46 13 -29
1 -38 -32 -18
1 -18 21 -22
1 -21 -3 46
1 33 -20 -3
1 34 -40 -23
1 -28 17 -13
1 -42 -24 -31
1 -13 -28 35
1 31 48 45
1 -38 28 -41
1 19 -17 22
1 -16 -23 -24
1 22 -17 48
1 -20 -39 30
1 -38 -11 -31
1 -25 -17 -37
1 -50 20 7
1 -34 31 -25
1 49 1 -31
1 -28 47 36
1 11 4 -27
1 -27 -6 17
1 1 13 39
1 -30 -17 -49
1 37 -12 14
1 23 24 18
1 -15 6 -46
1 19 14 -16
1 33 -28 34
1 -26 21 18
1 -31 50 -45
1 -24 11 4
1 -39 -16 -38
1 -2 48 36
1 14 34 -49
1 -44 49 -32
1 -6 -47 -19
1 46 17 -13
1 27 6 -26
1 -48 -22 19
1 48 44 -13
1 20 -27 8
1 -50 17 40
1 42 -43 -34
1 -19 30 -47
1 -34 17 -45
1 -44 -16 41
1 -6 45 31
1 12 15 -6
1 46 -45 -50
1 -45 -44 8
1 -13 -22 -19
1 -31 -16 -45
1 14 21 -2
1 6 -25 26
1 30 -35 20
1 10 -34 4
1 18 8 23
1 19 -28 47
1 43 45 47
1 6 4 -29
1 27 -43 -24
1 33 -43 -44
1 21 25 26
1 -21 -37 -2
1 4 -28 34
1 -8 13 -16
1 -42 12 -39
1 8 -10 -17
1 14 -41 47
1 -16 -22 -41
1 -34 25 -42
1 44 -3 35
1 19 12 13
1 20 10 -29
1 20 -50 7
1 -48 -50 -24
1 37 -13 2
1 15 -33 35
1 4 21 49
1 10 18 -25
1 -35 -22 21
1 -14 20 47
1 -47 40 24
1 11 -41 -13
1 32 2 40
1 37 -27 30
1 -17 -14 18
1 32 11 28
1 -30 -23 19
1 -19 45 39
1 -22 37 16
1 -23 -20 -40
1 -22 -25 7
1 26 -3 10
1 -32 43 36
1 35 34 13
1 -16 26 34
1 10 -43 28
1 -37 11 -3
1 -11 34 -2
1 8 -41 -6
1 -49 -11 50
1 6 2 -49
1 46 5 12
1 -10 2 16
1 -2 21 37
1 -32 47 25
1 -25 45 -2
1 -31 12 28
1 -18 25 49
1 -17 37 49
1 -33 27 15
1 -14 -24 -19
1 12 9 -40
1 12 40 -34
1 -12 24 -48
1 -30 20 6
1 -3 24 -41
1 -5 32 17
1 11 -44 -2
1 1 -31 -12
1 2 -10 -11
1 29 -4 -25
1 -36 -5 33
1 1 3 -12
1 -30 -19 5
1 13 34 -29
1 -18 -14 43
1 29 -31 -15
1 -38 -27 22
1 36 5 -47
1 -25 46 32
1 -27 -39 -26
1 34 -38 -4
1 28 -4 -27
1 -27 46 -42
1 -47 -37 -3
1 18 25 45
1 29 19 -47
1 -13 41 18
1 33 17 -24
1 -44 29 16
1 -38 -46 -37
1 22 -42 25
1 -5 41 1
1 -10 42 48
1 -3 -12 -35
1 16 -10 26
1 34 20 37
1 -33 20 30
1 23 44 17
1 28 -44 6
1 44 3 -22
1 -31 -8 -50
1 -34 47 14
1 -6 -20 -27
1 -31 19 -11
1 30 4 34
1 -11 27 -14
1 43 33 -18
1 -27 47 -41
1 43 34 41
1 13 -28 -40
1 31 -43 -19
1 -33 6 12
1 -45 5 15
1 43 -20 25
1 47 23 14
1 26 -47 21
1 34 49 2
1 38 -2 -25
1 -10 34 -49
1 44 -32 -7
1 -11 38 49
1 17 43 -35
1 9 -23 22
1 15 -34 -3
1 -10 -32 25
1 -29 18 -5
1 -47 31 29
1 -8 44 26
1 17 12 -33
1 -45 -44 -7
1 -6 -39 -34
1 -34 -43 48
1 -48 5 -47
1 -8 -6 15
1 6 -41 37
1 -11 -44 8
1 25 -23 -40
1 9 -29 35
1 -3 49 -39
1 -30 -40 26
1 4 11 -21
1 -25 -2 -8
1 33 -29 -13
1 -3 -30 -2
1 -45 11 34
1 16 -41 23
1 -21 -48 -18
1 -2 24 25
1 -31 43 -2
1 -1 -21 41
1 8 -27 -49
1 14 -21 -47
1 -42 -12 41
1 22 1 -5
1 -34 1 -4
1 -7 -45 -33
1 6 40 5
1 29 -27 -38
1 -12 44 18
1 -2 49 -33
1 -5 -29 35
1 -5 -33 20
1 -4 -26 33
1 -5 -47 24
1 -6 45 -26
1 48 35 41
1 -34 -2 -31
1 -43 36 -4
1 -18 43 -31
1 14 -1 -11
1 26 6 35
1 33 24 4
1 -49 23 7
