100 1500 3 
1 30 -20 83
1 46 -80 -40
1 -72 -19 89
1 -37 -58 59
1 -8 -35 -87
1 4 78 -17
1 99 -50 -60
1 22 88 31
1 -83 21 -54
1 10 61 -71
1 -72 -33 -5
1 -96 -38 12
1 -4 -78 47
1 21 -4 47
1 -31 67 -27
1 69 27 -86
1 61 -19 56
1 -35 -81 -20
1 -36 -67 -43
1 -77 -34 -69
1 -33 57 10
1 97 56 42
1 37 70 -95
1 54 33 -80
1 11 2 -61
1 -61 -33 -4
1 -23 50 66
1 48 61 -38
1 -48 44 16
1 -74 95 94
1 -93 32 22
1 6 -53 -49
1 -50 4 -12
1 -91 32 15
1 14 -97 10
1 -56 -97 -88
1 -5 -47 28
1 -69 67 -41
1 36 -76 -98
1 -35 57 -94
1 -5 57 -15
1 -26 3 -51
1 78 21 -82
1 -82 -94 27
1 -68 -12 52
1 12 71 -20
1 -100 40 -89
1 67 -84 31
1 -31 -94 56
1 98 -37 -58
1 68 50 66
1 93 81 98
1 92 -12 -23
1 -41 -28 -61
1 85 52 -63
1 -49 -37 -75
1 -53 -8 83
1 46 -88 -61
1 51 78 99
1 59 -22 96
1 -18 45 -28
1 -13 -94 -9
1 -68 10 -3
1 3 -74 -87
1 -47 73 31
1 -25 53 -64
1 50 41 39
1 80 -31 -30
1 29 38 49
1 93 -50 59
1 55 -44 -91
1 67 90 -44
1 14 -5 16
1 -98 85 -23
1 58 6 -79
1 9 21 -31
1 2 91 38
1 -26 -73 11
1 55 -27 -20
1 10 5 -67
1 -52 67 82
1 -49 -36 51
1 42 4 2
1 38 13 -72
1 -69 32 -95
1 8 -34 -46
1 -44 5 -94
1 69 -25 39
1 -73 74 23
1 -65 -70 -32
1 64 -96 75
1 33 -75 -45
1 18 -42 75
1 -84 87 1
1 -51 67 -25
1 54 -76 -26
1 81 -71 -64
1 18 -93 68
1 61 -6 23
1 38 -31 -6
1 6 -63 93
1 -40 -43 -46
1 -19 -15 -41
1 -46 31 28
1 -69 -6 -77
1 96 36 11
1 -20 -96 -14
1 74 -33 90
1 -42 36 78
1 98 -99 57
1 68 35 47
1 -7 44 65
1 40 -51 3
1 -24 18 -80
1 -41 12 -52
1 -27 -74 32
1 63 73 72
1 -58 70 41
1 -47 14 22
1 26 -62 -88
1 64 -76 -82
1 -4 89 -51
1 2 -55 -50
1 74 -65 -83
1 -50 83 -8
1 -16 10 -46
1 69 40 94
1 -28 21 -64
1 22 77 33
1 -44 83 24
1 -75 34 -54
1 -80 58 98
1 22 80 -95
1 47 45 36
1 -63 -22 -48
1 -37 -73 -63
1 71 74 -23
1 15 -97 -83
1 71 92 21
1 52 5 -97
1 -12 -29 2
1 23 -15 -63
1 37 -91 88
1 -13 98 42
1 63 33 -21
1 -89 87 83
1 83 -66 -37
1 47 78 34
1 39 -38 -89
1 -16 -21 -59
1 30 80 -38
1 -53 -86 59
1 -56 -81 -25
1 -14 -93 -7
1 9 90 -38
1 -55 -54 77
1 -39 13 -38
1 83 9 -88
1 20 -92 50
1 -11 -21 -61
1 96 4 -53
1 91 -60 -85
1 -22 5 68
1 -84 36 90
1 16 -90 -62
1 39 -29 -62
1 -18 65 -84
1 -10 29 -41
1 -78 -10 85
1 -30 -95 -52
1 -78 1 57
1 72 -98 -1
1 13 -57 -25
1 -42 -84 -12
1 83 75 47
1 -52 -2 -58
1 18 -95 -62
1 -34 44 88
1 -63 34 88
1 -35 58 26
1 -42 -12 59
1 4 65 -94
1 9 -57 100
1 74 -22 77
1 51 -21 18
1 41 55 2
1 -24 -41 4
1 -47 16 41
1 -78 -74 7
1 -36 -62 14
1 -31 35 -68
1 -74 -68 -91
1 31 -43 -56
1 -16 36 58
1 15 1 87
1 10 -91 -81
1 -25 -76 91
1 -52 68 -15
1 -73 91 -72
1 -63 -29 30
1 -72 -4 -42
1 -25 46 82
1 66 65 -57
1 84 45 53
1 -60 84 59
1 -64 63 -12
1 -7 31 -18
1 58 41 65
1 -73 39 74
1 -58 -75 -96
1 82 -66 70
1 -17 -76 -94
1 -49 59 31
1 34 -56 44
1 -77 -50 -22
1 55 -39 -31
1 22 -39 -62
1 -5 98 -88
1 10 -64 31
1 -88 -99 -35
1 -26 -86 -80
1 -65 91 -95
1 -78 43 27
1 -18 -50 37
1 -84 40 51
1 27 -62 57
1 37 -55 29
1 -15 79 57
1 -68 99 18
1 -18 62 -100
1 -9 -56 -47
1 88 84 -13
1 2 -72 99
1 26 60 52
1 96 -53 -67
1 -33 -46 -11
1 -41 -20 37
1 97 -70 56
1 85 -11 -25
1 48 -5 -19
1 -38 -2 31
1 -42 60 14
1 -69 -25 59
1 26 -96 53
1 39 15 8
1 80 -10 37
1 73 49 -75
1 83 -97 -16
1 29 -25 56
1 21 -79 -78
1 99 78 21
1 22 -66 60
1 22 -7 -69
1 26 25 48
1 88 47 -62
1 77 -53 58
1 94 -31 92
1 87 -10 94
1 -24 -72 -100
1 -83 29 -14
1 9 -47 83
1 7 63 -17
1 -12 -63 -50
1 47 75 32
1 12 -72 -77
1 75 1 -54
1 56 -83 -86
1 -53 79 -68
1 44 -56 23
1 6 -13 39
1 -17 -10 -80
1 -37 42 63
1 12 14 -46
1 -72 -91 90
1 71 60 -10
1 23 -87 -96
1 46 -22 -81
1 90 -73 -38
1 -98 -58 72
1 5 -29 12
1 10 13 80
1 85 61 -50
1 10 -2 -21
1 -14 -38 100
1 -68 -64 -66
1 -24 -13 63
1 24 -92 -29
1 78 -61 77
1 -19 39 -90
1 -69 -11 85
1 -59 95 -11
1 -44 96 43
1 -6 19 33
1 64 -78 82
1 37 -68 -5
1 -63 -99 65
1 26 17 56
1 21 96 -54
1 26 30 60
1 19 -24 46
1 98 -95 -16
1 88 96 81
1 -61 -1 -57
1 -47 55 -49
1 -47 -74 37
1 -28 -56 26
1 17 -25 86
1 74 -47 12
1 36 -21 2
1 -32 -78 -84
1 21 -68 -58
1 -35 -79 83
1 47 -57 -15
1 -46 13 -19
1 -34 -43 20
1 -91 93 37
1 95 -6 71
1 -94 49 27
1 -52 -33 -57
1 3 -42 -75
1 -75 -23 -55
1 18 -49 84
1 -91 -10 -57
1 -20 97 55
1 -51 -83 39
1 -4 52 -48
1 -49 55 21
1 -75 83 18
1 -100 62 -63
1 39 100 -76
1 -59 -67 100
1 1 5 71
1 71 25 96
1 97 3 -60
1 -88 -22 -8
1 8 -72 62
1 -58 -75 7
1 56 -25 73
1 73 -41 50
1 -31 39 48
1 55 58 -87
1 67 -10 -92
1 -17 31 -1
1 -25 -11 56
1 -51 -94 -13
1 -68 -57 -69
1 -70 -81 -20
1 -71 95 -73
1 -85 90 -37
1 23 6 -96
1 13 5 81
1 -19 -44 40
1 -82 60 89
1 11 -89 85
1 -60 -69 -74
1 6 -81 -1
1 67 -20 86
1 17 -61 -48
1 3 -16 31
1 79 -61 -38
1 -74 -40 -51
1 25 49 4
1 35 29 63
1 -68 54 -76
1 -74 -23 -68
1 -36 -4 87
1 8 -51 99
1 -75 -64 65
1 98 -1 -14
1 -33 72 60
1 -82 18 27
1 -57 20 -14
1 -79 -45 5
1 4 70 -33
1 49 34 -61
1 67 36 -38
1 55 60 14
1 -65 60 40
1 33 -17 89
1 35 7 31
1 38 78 -72
1 42 -56 95
1 82 48 -87
1 37 -44 12
1 -83 -26 98
1 71 31 6
1 -51 21 -64
1 -39 -4 -1
1 68 16 -45
1 -83 -79 -14
1 -76 -10 15
1 3 74 1
1 37 48 71
1 16 -44 22
1 83 -90 -4
1 19 -42 67
1 43 78 -90
1 11 -28 68
1 -70 -33 -21
1 -5 75 -99
1 37 -32 -56
1 -83 88 13
1 84 5 3
1 -9 -54 -27
1 87 31 -76
1 24 -15 -54
1 88 18 17
1 -69 -88 9
1 -1 73 45
1 -50 80 89
1 7 -85 -13
1 60 9 -62
1 58 -54 -79
1 -17 13 -33
1 51 29 -14
1 52 8 -87
1 -42 -78 -3
1 -5 7 12
1 67 -55 29
1 54 -34 -17
1 -60 -72 -56
1 -77 42 -63
1 -92 28 69
1 -68 23 78
1 -43 10 89
1 -20 -74 65
1 25 -30 -47
1 -69 57 27
1 -28 24 -65
1 -60 -36 19
1 18 -59 96
1 -85 -17 -36
1 -23 54 -88
1 7 47 -3
1 18 -83 54
1 -10 -82 -33
1 -86 1 -25
1 13 -32 -14
1 60 -12 -38
1 -44 42 -67
1 12 -98 100
1 33 39 -68
1 46 54 28
1 -22 -38 -78
1 3 14 -42
1 92 87 3
1 7 51 79
1 -61 -16 -92
1 1 4 77
1 -32 98 77
1 -19 -77 -87
1 58 -89 -35
1 79 -21 56
1 32 54 -22
1 24 -61 -43
1 -38 -46 -31
1 49 -9 96
1 77 -64 -91
1 19 5 45
1 6 88 23
1 30 -48 -91
1 43 55 80
1 34 77 88
1 -76 -59 -63
1 -4 27 20
1 -40 -26 81
1 26 -25 47
1 -75 -82 -21
1 43 24 62
1 -72 -1 -73
1 -45 -35 85
1 -75 -18 -100
1 68 -21 -47
1 -79 40 -80
1 -13 -70 59
1 -64 -98 -7
1 12 -15 51
1 41 73 -60
1 -6 15 18
1 -22 -68 12
1 32 -56 -64
